time,lot_code,taxonomic_group,specimen_count,collection_event_code,date_collected_start,date_collected_end,parent_lot,num_morpho_spp,num_bark_beetle_specimens,trap,site_name,num_weevils_spp,num_bark_beetles_spp
2016-05-01,LOT025217,Curculionidae,25,,4/15/16,4/29/16,LOT014591,9,1,S0024,Yona,8,1
2016-03-01,LOT025218,Curculionidae,2,,2/19/16,3/4/16,LOT006820,2,0,S0025,Yona,2,0
2016-03-15,LOT025219,Curculionidae,5,,3/4/16,3/18/16,LOT010946,4,0,S0025,Yona,5,0
2016-04-01,LOT025220,Curculionidae,14,,3/18/16,4/1/16,LOT012046,7,0,S0025,Yona,7,0
2016-04-15,LOT025221,Curculionidae,43,,4/1/16,4/15/16,LOT013221,7,1,S0025,Yona,6,1
2016-05-01,LOT025222,Curculionidae,53,,4/15/16,4/29/16,LOT014517,16,0,S0025,Yona,16,0
2016-03-01,LOT025227,Curculionidae,2,,2/19/16,3/4/16,LOT007123,2,0,S0026,Yona,2,0
2016-03-15,LOT025228,Curculionidae,7,,3/4/16,3/18/16,LOT010865,6,0,S0026,Yona,6,0
2016-04-01,LOT025229,Curculionidae,15,,3/18/16,4/1/16,LOT012008,5,0,S0026,Yona,5,0
2016-04-15,LOT025230,Curculionidae,19,,4/1/16,4/15/16,LOT013180,8,0,S0026,Yona,8,0
2016-05-01,LOT025231,Curculionidae,43,,4/15/16,4/29/16,LOT014501,12,1,S0026,Yona,11,1
2016-03-01,LOT025306,Curculionidae,4,,2/24/16,3/9/16,LOT009294,3,2,S0029,Kurashiki,1,2
2016-03-15,LOT025307,Curculionidae,4,,3/9/16,3/23/16,LOT011227,4,2,S0029,Kurashiki,2,2
2016-04-01,LOT025308,Curculionidae,19,,3/23/16,4/6/16,LOT012222,10,12,S0029,Kurashiki,4,6
2016-04-15,LOT025309,Curculionidae,12,,4/6/16,4/20/16,LOT013442,9,2,S0029,Kurashiki,7,2
2016-05-01,LOT025310,Curculionidae,7,,4/20/16,5/4/16,LOT014990,7,2,S0029,Kurashiki,5,2
2016-03-01,LOT025315,Curculionidae,4,,2/24/16,3/9/16,LOT009320,4,1,S0030,Kurashiki,3,1
2016-03-15,LOT025316,Curculionidae,2,,3/9/16,3/23/16,LOT011145,2,0,S0030,Kurashiki,2,0
2016-04-01,LOT025317,Curculionidae,5,,3/23/16,4/6/16,LOT012294,4,2,S0030,Kurashiki,2,2
2016-04-15,LOT025318,Curculionidae,4,,4/6/16,4/20/16,LOT013523,3,1,S0030,Kurashiki,2,1
2016-05-01,LOT025319,Curculionidae,4,,4/20/16,5/4/16,LOT015010,2,0,S0030,Kurashiki,2,0
2016-03-01,LOT025324,Curculionidae,6,,2/24/16,3/9/16,LOT008842,6,4,S0031,Kurashiki,2,4
2016-03-15,LOT025325,Curculionidae,6,,3/9/16,3/23/16,LOT011082,6,3,S0031,Kurashiki,3,3
2016-04-01,LOT025326,Curculionidae,10,,3/23/16,4/6/16,LOT011238,8,6,S0031,Kurashiki,4,4
2016-04-15,LOT025327,Curculionidae,15,,4/6/16,4/20/16,LOT013478,10,8,S0031,Kurashiki,5,5
2016-05-01,LOT025328,Curculionidae,15,,4/20/16,5/4/16,LOT014947,10,4,S0031,Kurashiki,6,4
2016-03-15,LOT025055,Curculionidae,3,OK00901,3/2/16,3/16/16,,3,2,S0032,Senbaru Field ,,
2016-04-01,LOT025057,Curculionidae,7,OK01041,3/16/16,3/30/16,,7,3,S0032,Senbaru Field ,,
2016-04-15,LOT025059,Curculionidae,15,OK01118,3/30/16,4/13/16,,11,8,S0032,Senbaru Field ,,
2016-05-01,LOT025061,Curculionidae,20,OK01185,4/13/16,4/27/16,,11,11,S0032,Senbaru Field ,,
2016-03-15,LOT025091,Curculionidae,13,OK00982,3/2/16,3/16/16,,8,1,S0033,Senbaru Field ,,
2016-04-01,LOT025094,Curculionidae,29,OK01042,3/16/16,3/30/16,,11,3,S0033,Senbaru Field ,,
2016-04-15,LOT025095,Curculionidae,32,OK01119,3/30/16,4/13/16,,16,5,S0033,Senbaru Field ,,
2016-05-01,LOT025098,Curculionidae,18,OK01186,4/13/16,4/27/16,,11,5,S0033,Senbaru Field ,,
2016-03-15,LOT056917,Curculionidae,4,,3/2/16,3/16/16,LOT009655,4,2,S0034,Senbaru Field ,2,2
2016-04-01,LOT056918,Curculionidae,8,,3/16/16,3/30/16,LOT011654,7,5,S0034,Senbaru Field ,3,4
2016-04-15,LOT056919,Curculionidae,24,,3/30/16,4/13/16,LOT012982,13,10,S0034,Senbaru Field ,7,6
2016-05-01,LOT056920,Curculionidae,14,,4/13/16,4/27/16,LOT016295,8,3,S0034,Senbaru Field ,5,3
2016-03-01,LOT025263,Curculionidae,2,,2/19/16,3/4/16,LOT006963,2,0,S0047,Oku,2,0
2016-03-15,LOT025264,Curculionidae,10,,3/4/16,3/18/16,LOT010754,5,1,S0047,Oku,4,1
2016-04-01,LOT025265,Curculionidae,6,,3/18/16,4/1/16,LOT011740,4,0,S0047,Oku,4,0
2016-04-15,LOT025266,Curculionidae,14,,4/1/16,4/15/16,LOT013056,7,0,S0047,Oku,7,0
2016-05-01,LOT025267,Curculionidae,18,,4/15/16,4/29/16,LOT014716,12,1,S0047,Oku,11,1
2016-03-01,LOT025274,Curculionidae,1,,2/19/16,3/4/16,LOT006883,1,0,S0048,Oku,1,0
2016-03-15,LOT025275,Curculionidae,12,,3/4/16,3/18/16,LOT010248,2,0,S0048,Oku,2,0
2016-04-01,LOT025276,Curculionidae,16,,3/18/16,4/1/16,LOT011855,4,0,S0048,Oku,4,0
2016-04-15,LOT025277,Curculionidae,12,,4/1/16,4/15/16,LOT013110,7,0,S0048,Oku,7,0
2016-05-01,LOT025278,Curculionidae,20,,4/15/16,4/29/16,LOT014469,7,0,S0048,Oku,7,0
2016-03-01,,Curculionidae,0,,2/19/16,3/4/16,LOT006911,0,0,S0049,Oku,0,0
2016-03-15,LOT025279,Curculionidae,8,,3/4/16,3/18/16,LOT010770,3,0,S0049,Oku,3,0
2016-04-01,LOT025280,Curculionidae,11,,3/18/16,4/1/16,LOT012133,6,0,S0049,Oku,6,0
2016-04-15,LOT025281,Curculionidae,8,,4/1/16,4/15/16,LOT013090,7,1,S0049,Oku,6,1
2016-05-01,LOT025282,Curculionidae,8,,4/15/16,4/29/16,LOT014637,5,1,S0049,Oku,4,1
2016-03-15,LOT025001,Curculionidae,2,OK00988,3/3/16,3/17/16,,2,1,S0068,Nago,,
2016-04-01,LOT025002,Curculionidae,5,OK01054,3/17/16,3/31/16,,4,1,S0068,Nago,,
2016-04-15,LOT025003,Curculionidae,4,OK01124,3/31/16,4/14/16,,4,1,S0068,Nago,,
2016-05-01,LOT025004,Curculionidae,11,OK01197,4/14/16,4/28/16,,9,3,S0068,Nago,,
2016-03-15,LOT025006,Curculionidae,6,OK00891,3/3/16,3/17/16,,5,1,S0069,Nago,,
2016-04-01,LOT025008,Curculionidae,3,OK01055,3/17/16,3/31/16,,3,0,S0069,Nago,,
2016-04-15,LOT025009,Curculionidae,7,OK01125,3/31/16,4/14/16,,4,0,S0069,Nago,,
2016-05-01,LOT025010,Curculionidae,11,OK01198,4/14/16,4/28/16,,6,1,S0069,Nago,,
2016-03-15,LOT025016,Curculionidae,5,OK00987,3/3/16,3/17/16,,2,0,S0070,Nago,,
2016-04-01,LOT025017,Curculionidae,7,OK01056,3/17/16,3/31/16,,4,1,S0070,Nago,,
2016-04-15,LOT025018,Curculionidae,2,OK01126,3/31/16,4/14/16,,2,1,S0070,Nago,,
2016-05-01,LOT025019,Curculionidae,5,OK01199,4/14/16,4/28/16,,3,0,S0070,Nago,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT008859,0,,S0004,OIST Open,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,,0,,S0004,OIST Open,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012062,0,,S0004,OIST Open,,
2016-04-15,,Anthribidae,0,,4/6/16,4/20/16,LOT013406,0,,S0004,OIST Open,,
2016-05-01,LOT056903,Anthribidae,1,,4/20/16,5/4/16,LOT014766,1,,S0004,OIST Open,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT008923,0,,S0005,OIST Open,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,,0,,S0005,OIST Open,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012193,0,,S0005,OIST Open,,
2016-04-15,,Anthribidae,0,,4/6/16,4/20/16,LOT013323,0,,S0005,OIST Open,,
2016-05-01,LOT056908,Anthribidae,1,,4/20/16,5/4/16,LOT014668,1,,S0005,OIST Open,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT008961,0,,S0006,OIST Open,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,LOT010801,0,,S0006,OIST Open,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012087,0,,S0006,OIST Open,,
2016-04-15,LOT056914,Anthribidae,2,,4/6/16,4/20/16,LOT013422,2,,S0006,OIST Open,,
2016-05-01,LOT056915,Anthribidae,1,,4/20/16,5/4/16,LOT014748,1,,S0006,OIST Open,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT009295,0,,S0012,Takeyambaru,,
2016-03-15,LOT025292,Anthribidae,1,,3/9/16,3/23/16,LOT011163,1,,S0012,Takeyambaru,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012030,0,,S0012,Takeyambaru,,
2016-04-15,,Anthribidae,0,,4/6/16,4/20/16,LOT013510,0,,S0012,Takeyambaru,,
2016-05-01,LOT025293,Anthribidae,1,,4/20/16,5/4/16,LOT014821,1,,S0012,Takeyambaru,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT009308,0,,S0013,Takeyambaru,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,LOT010959,0,,S0013,Takeyambaru,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012020,0,,S0013,Takeyambaru,,
2016-04-15,,Anthribidae,0,,4/6/16,4/20/16,LOT013497,0,,S0013,Takeyambaru,,
2016-05-01,,Anthribidae,0,,4/20/16,5/4/16,LOT014701,0,,S0013,Takeyambaru,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT009639,0,,S0014,Takeyambaru,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,LOT010911,0,,S0014,Takeyambaru,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT012116,0,,S0014,Takeyambaru,,
2016-04-15,,Anthribidae,0,,4/6/16,4/20/16,LOT013459,0,,S0014,Takeyambaru,,
2016-05-01,LOT025305,Anthribidae,3,,4/20/16,5/4/16,LOT014908,2,,S0014,Takeyambaru,,
2016-03-01,LOT025239,Anthribidae,1,,2/19/16,3/4/16,LOT007105,1,,S0015,Hentona,,
2016-03-15,LOT025240,Anthribidae,2,,3/4/16,3/18/16,LOT010929,2,,S0015,Hentona,,
2016-04-01,LOT025242,Anthribidae,3,,3/18/16,4/1/16,LOT011892,3,,S0015,Hentona,,
2016-04-15,LOT025243,Anthribidae,1,,4/1/16,4/15/16,LOT013360,1,,S0015,Hentona,,
2016-05-01,LOT025250,Anthribidae,2,,4/15/16,4/29/16,LOT014556,1,,S0015,Hentona,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT007003,0,,S0016,Hentona,,
2016-03-15,LOT025251,Anthribidae,1,,3/4/16,3/18/16,LOT011178,1,,S0016,Hentona,,
2016-04-01,LOT025252,Anthribidae,1,,3/18/16,4/1/16,LOT011972,1,,S0016,Hentona,,
2016-04-15,LOT025254,Anthribidae,8,,4/1/16,4/15/16,LOT013293,4,,S0016,Hentona,,
2016-05-01,LOT025256,Anthribidae,10,,4/15/16,4/29/16,LOT014607,6,,S0016,Hentona,,
2016-03-01,LOT025268,Anthribidae,1,,2/19/16,3/4/16,LOT007090,1,,S0017,Hentona,,
2016-03-15,LOT025269,Anthribidae,2,,3/4/16,3/18/16,LOT011048,1,,S0017,Hentona,,
2016-04-01,LOT025270,Anthribidae,1,,3/18/16,4/1/16,LOT011838,1,,S0017,Hentona,,
2016-04-15,LOT025271,Anthribidae,9,,4/1/16,4/15/16,LOT013198,1,,S0017,Hentona,,
2016-05-01,LOT025272,Anthribidae,4,,4/15/16,4/29/16,LOT014575,1,,S0017,Hentona,,
2016-03-01,LOT025183,Anthribidae,1,OK00857,2/19/16,3/4/16,LOT006948,1,,S0021,Genka,,
2016-03-15,LOT025184,Anthribidae,1,OK00998,3/4/16,3/18/16,LOT009671,1,,S0021,Genka,,
2016-04-01,LOT025185,Anthribidae,1,OK01075,3/18/16,4/1/16,LOT011941,1,,S0021,Genka,,
2016-04-15,LOT025186,Anthribidae,1,OK01139,4/1/16,4/15/16,LOT013257,1,,S0021,Genka,,
2016-05-01,LOT025187,Anthribidae,2,OK01212,4/15/16,4/29/16,LOT014485,2,,S0021,Genka,,
2016-03-01,LOT025198,Anthribidae,7,,2/19/16,3/4/16,LOT006989,1,,S0022,Genka,,
2016-03-15,LOT025199,Anthribidae,26,,3/4/16,3/18/16,LOT009760,2,,S0022,Genka,,
2016-04-01,LOT025200,Anthribidae,15,,3/18/16,4/1/16,LOT011912,3,,S0022,Genka,,
2016-04-15,LOT025201,Anthribidae,25,,4/1/16,4/15/16,LOT013275,3,,S0022,Genka,,
2016-05-01,LOT025202,Anthribidae,17,,4/15/16,4/29/16,LOT014685,2,,S0022,Genka,,
2016-03-01,LOT025208,Anthribidae,4,,2/19/16,3/4/16,LOT006975,2,,S0023,Genka,,
2016-03-15,LOT025209,Anthribidae,5,,3/4/16,3/18/16,LOT011064,2,,S0023,Genka,,
2016-04-01,LOT025210,Anthribidae,1,,3/18/16,4/1/16,LOT011925,1,,S0023,Genka,,
2016-04-15,LOT025211,Anthribidae,4,,4/1/16,4/15/16,LOT013143,3,,S0023,Genka,,
2016-05-01,LOT025212,Anthribidae,8,,4/15/16,4/29/16,LOT014448,2,,S0023,Genka,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT006925,0,,S0024,Yona,,
2016-03-15,,Anthribidae,0,,3/4/16,3/18/16,LOT011018,0,,S0024,Yona,,
2016-04-01,,Anthribidae,0,,3/18/16,4/1/16,LOT012102,0,,S0024,Yona,,
2016-04-15,LOT025223,Anthribidae,1,,4/1/16,4/15/16,LOT013376,1,,S0024,Yona,,
2016-05-01,,Anthribidae,0,,4/15/16,4/29/16,LOT014591,0,,S0024,Yona,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT006820,0,,S0025,Yona,,
2016-03-15,,Anthribidae,0,,3/4/16,3/18/16,LOT010946,0,,S0025,Yona,,
2016-04-01,,Anthribidae,0,,3/18/16,4/1/16,LOT012046,0,,S0025,Yona,,
2016-04-15,,Anthribidae,0,,4/1/16,4/15/16,LOT013221,0,,S0025,Yona,,
2016-05-01,LOT025226,Anthribidae,1,,4/15/16,4/29/16,LOT014517,1,,S0025,Yona,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT007123,0,,S0026,Yona,,
2016-03-15,,Anthribidae,0,,3/4/16,3/18/16,LOT010865,,,S0026,Yona,,
2016-04-01,LOT025233,Anthribidae,1,,3/18/16,4/1/16,LOT012008,1,,S0026,Yona,,
2016-04-15,LOT025234,Anthribidae,1,,4/1/16,4/15/16,LOT013180,1,,S0026,Yona,,
2016-05-01,,Anthribidae,0,,4/15/16,4/29/16,LOT014501,0,,S0026,Yona,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT009294,0,,S0029,Kurashiki,,
2016-03-15,LOT025311,Anthribidae,3,,3/9/16,3/23/16,LOT011227,2,,S0029,Kurashiki,,
2016-04-01,LOT025312,Anthribidae,2,,3/23/16,4/6/16,LOT012222,1,,S0029,Kurashiki,,
2016-04-15,LOT025313,Anthribidae,6,,4/6/16,4/20/16,LOT013442,3,,S0029,Kurashiki,,
2016-05-01,LOT025314,Anthribidae,4,,4/20/16,5/4/16,LOT014990,3,,S0029,Kurashiki,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT009320,0,,S0030,Kurashiki,,
2016-03-15,LOT025320,Anthribidae,1,,3/9/16,3/23/16,LOT011145,1,,S0030,Kurashiki,,
2016-04-01,LOT025321,Anthribidae,2,,3/23/16,4/6/16,LOT012294,1,,S0030,Kurashiki,,
2016-04-15,LOT025322,Anthribidae,6,,4/6/16,4/20/16,LOT013523,2,,S0030,Kurashiki,,
2016-05-01,LOT025323,Anthribidae,3,,4/20/16,5/4/16,LOT015010,2,,S0030,Kurashiki,,
2016-03-01,,Anthribidae,0,,2/24/16,3/9/16,LOT008842,0,,S0031,Kurashiki,,
2016-03-15,,Anthribidae,0,,3/9/16,3/23/16,LOT011082,0,,S0031,Kurashiki,,
2016-04-01,,Anthribidae,0,,3/23/16,4/6/16,LOT011238,0,,S0031,Kurashiki,,
2016-04-15,LOT025329,Anthribidae,4,,4/6/16,4/20/16,LOT013478,2,,S0031,Kurashiki,,
2016-05-01,,Anthribidae,0,,4/20/16,5/4/16,LOT014947,0,,S0031,Kurashiki,,
2016-03-15,LOT025056,Anthribidae,2,OK00901,3/2/16,3/16/16,,1,,S0032,Senbaru Field ,,
2016-04-01,LOT025058,Anthribidae,7,OK01041,3/16/16,3/30/16,,2,,S0032,Senbaru Field ,,
2016-04-15,LOT025060,Anthribidae,18,OK01118,3/30/16,4/13/16,,2,,S0032,Senbaru Field ,,
2016-05-01,LOT025062,Anthribidae,22,OK01185,4/13/16,4/27/16,,5,,S0032,Senbaru Field ,,
2016-03-15,LOT025092,Anthribidae,1,OK00982,3/2/16,3/16/16,,1,,S0033,Senbaru Field ,,
2016-04-01,,Anthribidae,0,,3/16/16,3/30/16,,0,,S0033,Senbaru Field ,,
2016-04-15,LOT025096,Anthribidae,2,OK01119,3/30/16,4/13/16,,2,,S0033,Senbaru Field ,,
2016-05-01,LOT025099,Anthribidae,10,OK01186,4/13/16,4/27/16,,2,,S0033,Senbaru Field ,,
2016-03-15,LOT056921,Anthribidae,5,,3/2/16,3/16/16,LOT009655,4,,S0034,Senbaru Field ,,
2016-04-01,LOT056922,Anthribidae,1,,3/16/16,3/30/16,LOT011654,1,,S0034,Senbaru Field ,,
2016-04-15,LOT056923,Anthribidae,5,,3/30/16,4/13/16,LOT012982,3,,S0034,Senbaru Field ,,
2016-05-01,LOT056924,Anthribidae,13,,4/13/16,4/27/16,LOT016295,4,,S0034,Senbaru Field ,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT006963,0,,S0047,Oku,,
2016-03-15,,Anthribidae,0,,3/4/16,3/18/16,LOT010754,0,,S0047,Oku,,
2016-04-01,,Anthribidae,0,,3/18/16,4/1/16,LOT011740,0,,S0047,Oku,,
2016-04-15,,Anthribidae,0,,4/1/16,4/15/16,LOT013056,0,,S0047,Oku,,
2016-05-01,,Anthribidae,0,,4/15/16,4/29/16,LOT014716,0,,S0047,Oku,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT006883,0,,S0048,Oku,,
2016-03-15,,Anthribidae,0,,3/4/16,3/18/16,LOT010248,0,,S0048,Oku,,
2016-04-01,,Anthribidae,0,,3/18/16,4/1/16,LOT011855,0,,S0048,Oku,,
2016-04-15,,Anthribidae,0,,4/1/16,4/15/16,LOT013110,0,,S0048,Oku,,
2016-05-01,,Anthribidae,0,,4/15/16,4/29/16,LOT014469,0,,S0048,Oku,,
2016-03-01,,Anthribidae,0,,2/19/16,3/4/16,LOT006911,0,,S0049,Oku,,
2016-03-15,LOT025283,Anthribidae,1,,3/4/16,3/18/16,LOT010770,1,,S0049,Oku,,
2016-04-01,,Anthribidae,0,,3/18/16,4/1/16,LOT012133,0,,S0049,Oku,,
2016-04-15,LOT025284,Anthribidae,2,,4/1/16,4/15/16,LOT013090,1,,S0049,Oku,,
2016-05-01,LOT025286,Anthribidae,2,,4/15/16,4/29/16,LOT014637,1,,S0049,Oku,,
2016-03-15,,Anthribidae,0,,3/3/16,3/17/16,,0,,S0068,Nago,,
